         2463098 function calls in 1.685 seconds

   Ordered by: cumulative time
   List reduced from 184 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.023    0.023    1.685    1.685 mc.py:260(run)
       20    0.025    0.001    1.548    0.077 mc.py:92(computeTransformation)
    20000    0.060    0.000    1.521    0.000 transformation.py:67(u_to_x)
    20001    0.013    0.000    1.428    0.000 distribution.py:249(u_to_x)
    20001    0.020    0.000    1.381    0.000 _distn_infrastructure.py:535(ppf)
    20001    0.350    0.000    1.361    0.000 _distn_infrastructure.py:2302(ppf)
    60003    0.159    0.000    0.776    0.000 _distn_infrastructure.py:612(argsreduce)
    80004    0.078    0.000    0.277    0.000 fromnumeric.py:86(_wrapreduction_any_all)
    60003    0.031    0.000    0.239    0.000 fromnumeric.py:2548(all)
    20001    0.045    0.000    0.199    0.000 _stride_tricks_impl.py:514(broadcast_arrays)
    60000    0.041    0.000    0.132    0.000 {method 'all' of 'numpy.generic' objects}
    60004    0.070    0.000    0.132    0.000 shape_base.py:19(atleast_1d)
   100119    0.119    0.000    0.119    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    20002    0.075    0.000    0.110    0.000 _stride_tricks_impl.py:373(_broadcast_to)
    60000    0.017    0.000    0.092    0.000 _methods.py:64(_all)
    20001    0.010    0.000    0.079    0.000 fromnumeric.py:2436(any)
    60003    0.016    0.000    0.056    0.000 _function_base_impl.py:2100(place)
    20076    0.013    0.000    0.052    0.000 fromnumeric.py:2304(sum)
       20    0.047    0.002    0.050    0.002 mc.py:118(computeSumUpdate)
    20000    0.014    0.000    0.044    0.000 {method 'any' of 'numpy.generic' objects}
    60003    0.040    0.000    0.040    0.000 {built-in method numpy._core._multiarray_umath._place}
    20001    0.039    0.000    0.039    0.000 _continuous_distns.py:4317(_ppf)
    20107    0.015    0.000    0.038    0.000 fromnumeric.py:66(_wrapreduction)
    20002    0.023    0.000    0.037    0.000 numeric.py:323(full)
    20001    0.034    0.000    0.034    0.000 distribution.py:36(cdf)
    20000    0.006    0.000    0.030    0.000 _methods.py:55(_any)
   100005    0.029    0.000    0.029    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    20001    0.026    0.000    0.028    0.000 _stride_tricks_impl.py:446(_broadcast_shape)
    80093    0.020    0.000    0.020    0.000 {method 'ravel' of 'numpy.ndarray' objects}
   100045    0.020    0.000    0.020    0.000 {built-in method numpy.array}
   100172    0.018    0.000    0.018    0.000 {built-in method numpy.asanyarray}
   100131    0.015    0.000    0.015    0.000 {method 'items' of 'dict' objects}
    20002    0.009    0.000    0.014    0.000 {built-in method builtins.any}
    20001    0.012    0.000    0.012    0.000 lognormal.py:72(u_to_x)
   100010    0.012    0.000    0.012    0.000 {built-in method builtins.len}


