         137861 function calls in 0.081 seconds

   Ordered by: cumulative time
   List reduced from 192 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.001    0.000    0.080    0.003 form.py:60(run)
      100    0.000    0.000    0.038    0.000 form.py:190(getStepSize)
      750    0.000    0.000    0.038    0.000 distribution.py:249(u_to_x)
      100    0.003    0.000    0.038    0.000 form.py:202(computeStepSize)
      725    0.002    0.000    0.037    0.000 transformation.py:67(u_to_x)
      750    0.001    0.000    0.036    0.000 _distn_infrastructure.py:535(ppf)
      750    0.009    0.000    0.036    0.000 _distn_infrastructure.py:2302(ppf)
     2425    0.005    0.000    0.023    0.000 _distn_infrastructure.py:612(argsreduce)
       25    0.000    0.000    0.013    0.001 analysis.py:72(init_run)
       25    0.000    0.000    0.012    0.000 correlation.py:170(setModifiedCorrelationMatrix)
       25    0.001    0.000    0.012    0.000 correlation.py:65(computeModifiedCorrelationMatrix)
       25    0.001    0.000    0.010    0.000 integration.py:68(zi_and_xi)
      125    0.000    0.000    0.009    0.000 form.py:159(computeJacobian)
      125    0.001    0.000    0.008    0.000 transformation.py:83(jacobian)
     3350    0.002    0.000    0.008    0.000 fromnumeric.py:86(_wrapreduction_any_all)
      125    0.000    0.000    0.007    0.000 form.py:153(computeTransformation)
     2425    0.001    0.000    0.006    0.000 fromnumeric.py:2548(all)
      925    0.001    0.000    0.006    0.000 _stride_tricks_impl.py:514(broadcast_arrays)
      250    0.000    0.000    0.006    0.000 distribution.py:284(jacobian)
      225    0.000    0.000    0.006    0.000 model.py:208(evaluate_lsf)
       25    0.005    0.000    0.005    0.000 quadrature.py:12(quadratureRule)
      125    0.000    0.000    0.005    0.000 form.py:167(computeLimitState)
      125    0.000    0.000    0.005    0.000 distribution.py:204(pdf)
      125    0.000    0.000    0.004    0.000 _distn_infrastructure.py:605(pdf)
      125    0.002    0.000    0.004    0.000 _distn_infrastructure.py:2051(pdf)
      125    0.003    0.000    0.004    0.000 model.py:281(evaluate_ffd)
     2925    0.002    0.000    0.004    0.000 shape_base.py:19(atleast_1d)
      800    0.003    0.000    0.004    0.000 _stride_tricks_impl.py:373(_broadcast_to)
     2200    0.001    0.000    0.003    0.000 {method 'all' of 'numpy.generic' objects}
     3575    0.003    0.000    0.003    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1250    0.001    0.000    0.003    0.000 _linalg.py:2598(norm)
       50    0.001    0.000    0.003    0.000 _distn_infrastructure.py:2132(cdf)
      925    0.000    0.000    0.003    0.000 fromnumeric.py:2436(any)
       25    0.000    0.000    0.002    0.000 form.py:145(computeStartingPoint)
     2200    0.000    0.000    0.002    0.000 _methods.py:64(_all)


