         21875 function calls in 0.022 seconds

   Ordered by: cumulative time
   List reduced from 161 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.001    0.000    0.021    0.001 form.py:60(run)
       25    0.000    0.000    0.010    0.000 analysis.py:72(init_run)
       25    0.000    0.000    0.008    0.000 correlation.py:170(setModifiedCorrelationMatrix)
       25    0.001    0.000    0.008    0.000 correlation.py:65(computeModifiedCorrelationMatrix)
       25    0.001    0.000    0.007    0.000 integration.py:68(zi_and_xi)
       25    0.005    0.000    0.005    0.000 quadrature.py:12(quadratureRule)
       75    0.000    0.000    0.003    0.000 model.py:208(evaluate_lsf)
       25    0.000    0.000    0.003    0.000 form.py:190(getStepSize)
       25    0.001    0.000    0.003    0.000 form.py:202(computeStepSize)
       50    0.000    0.000    0.003    0.000 form.py:167(computeLimitState)
       50    0.001    0.000    0.002    0.000 model.py:281(evaluate_ffd)
       50    0.000    0.000    0.002    0.000 form.py:159(computeJacobian)
       25    0.000    0.000    0.002    0.000 form.py:268(computeFailureProbability)
       25    0.001    0.000    0.002    0.000 _distn_infrastructure.py:2132(cdf)
       50    0.000    0.000    0.002    0.000 transformation.py:83(jacobian)
       25    0.000    0.000    0.001    0.000 transformation.py:108(compute)
      575    0.000    0.000    0.001    0.000 fromnumeric.py:48(_wrapfunc)
       25    0.000    0.000    0.001    0.000 transformation.py:119(_computeCholesky)
       75    0.001    0.000    0.001    0.000 _linalg.py:536(inv)
      450    0.000    0.000    0.001    0.000 fromnumeric.py:604(transpose)
      100    0.000    0.000    0.001    0.000 normal.py:81(jacobian)
      350    0.000    0.000    0.001    0.000 _linalg.py:2598(norm)
      275    0.000    0.000    0.001    0.000 fromnumeric.py:38(_wrapit)
       25    0.000    0.000    0.001    0.000 _linalg.py:778(cholesky)
      200    0.000    0.000    0.001    0.000 transformation.py:67(u_to_x)
       25    0.000    0.000    0.001    0.000 _twodim_base_impl.py:454(tril)
       50    0.000    0.000    0.001    0.000 form.py:177(computeGamma)
       75    0.000    0.000    0.001    0.000 fromnumeric.py:3149(min)
      200    0.000    0.000    0.001    0.000 _twodim_base_impl.py:258(diag)
       25    0.000    0.000    0.000    0.000 benchmark_against_1x.py:80(make_analysis)
      100    0.000    0.000    0.000    0.000 _function_base_impl.py:5577(append)
       25    0.000    0.000    0.000    0.000 form.py:145(computeStartingPoint)
       25    0.000    0.000    0.000    0.000 model.py:260(evaluate_nogradient)
       25    0.000    0.000    0.000    0.000 _distn_infrastructure.py:612(argsreduce)
       75    0.000    0.000    0.000    0.000 model.py:338(compute_lsf)


