         2472713 function calls in 0.992 seconds

   Ordered by: cumulative time
   List reduced from 243 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.987    0.987 mc.py:443(run)
        1    0.014    0.014    0.986    0.986 mc.py:260(run)
       20    0.013    0.001    0.907    0.045 mc.py:92(computeTransformation)
    20043    0.035    0.000    0.894    0.000 transformation.py:67(u_to_x)
    20046    0.008    0.000    0.840    0.000 distribution.py:249(u_to_x)
    20046    0.012    0.000    0.813    0.000 _distn_infrastructure.py:535(ppf)
    20046    0.199    0.000    0.802    0.000 _distn_infrastructure.py:2302(ppf)
    60147    0.100    0.000    0.462    0.000 _distn_infrastructure.py:612(argsreduce)
    80202    0.048    0.000    0.167    0.000 fromnumeric.py:86(_wrapreduction_any_all)
    60147    0.019    0.000    0.143    0.000 fromnumeric.py:2548(all)
    20055    0.025    0.000    0.111    0.000 _stride_tricks_impl.py:514(broadcast_arrays)
    60178    0.043    0.000    0.080    0.000 shape_base.py:19(atleast_1d)
    60130    0.024    0.000    0.079    0.000 {method 'all' of 'numpy.generic' objects}
   100440    0.070    0.000    0.070    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    20050    0.040    0.000    0.062    0.000 _stride_tricks_impl.py:373(_broadcast_to)
    60130    0.011    0.000    0.055    0.000 _methods.py:64(_all)
    20055    0.006    0.000    0.048    0.000 fromnumeric.py:2436(any)
    60151    0.011    0.000    0.034    0.000 _function_base_impl.py:2100(place)
    20148    0.008    0.000    0.032    0.000 fromnumeric.py:2304(sum)
       20    0.026    0.001    0.028    0.001 mc.py:118(computeSumUpdate)
    20044    0.008    0.000    0.027    0.000 {method 'any' of 'numpy.generic' objects}
    60151    0.024    0.000    0.024    0.000 {built-in method numpy._core._multiarray_umath._place}
    20214    0.009    0.000    0.023    0.000 fromnumeric.py:66(_wrapreduction)
    20049    0.014    0.000    0.022    0.000 numeric.py:323(full)
    20046    0.020    0.000    0.020    0.000 _continuous_distns.py:4317(_ppf)
    20044    0.004    0.000    0.018    0.000 _methods.py:55(_any)
    20046    0.018    0.000    0.018    0.000 distribution.py:36(cdf)
   100272    0.017    0.000    0.017    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    20055    0.014    0.000    0.015    0.000 _stride_tricks_impl.py:446(_broadcast_shape)
    80400    0.011    0.000    0.011    0.000 {method 'ravel' of 'numpy.ndarray' objects}
   100510    0.011    0.000    0.011    0.000 {built-in method numpy.asanyarray}
   100349    0.011    0.000    0.011    0.000 {built-in method numpy.array}
   100449    0.009    0.000    0.009    0.000 {method 'items' of 'dict' objects}
    20050    0.006    0.000    0.009    0.000 {built-in method builtins.any}
   100339    0.007    0.000    0.007    0.000 {built-in method builtins.len}


