         368201 function calls in 0.252 seconds

   Ordered by: cumulative time
   List reduced from 260 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.000    0.000    0.168    0.007 benchmark_against_1x.py:80(make_analysis)
       25    0.000    0.000    0.167    0.007 sorm.py:67(__init__)
       25    0.003    0.000    0.167    0.007 form.py:60(run)
       50    0.000    0.000    0.116    0.002 analysis.py:72(init_run)
       50    0.000    0.000    0.113    0.002 correlation.py:170(setModifiedCorrelationMatrix)
       50    0.001    0.000    0.113    0.002 correlation.py:65(computeModifiedCorrelationMatrix)
       25    0.000    0.000    0.084    0.003 sorm.py:99(run)
      150    0.001    0.000    0.079    0.001 _optimize.py:575(fmin)
      150    0.012    0.000    0.078    0.001 _optimize.py:700(_minimize_neldermead)
     2500    0.003    0.000    0.055    0.000 _optimize.py:555(function_wrapper)
     2500    0.001    0.000    0.050    0.000 correlation.py:141(absoluteIntegralValue)
     2500    0.036    0.000    0.049    0.000 integration.py:17(rho_integral)
      400    0.000    0.000    0.038    0.000 form.py:190(getStepSize)
      400    0.009    0.000    0.037    0.000 form.py:202(computeStepSize)
      525    0.004    0.000    0.035    0.000 transformation.py:83(jacobian)
      425    0.001    0.000    0.033    0.000 form.py:159(computeJacobian)
      150    0.003    0.000    0.031    0.000 integration.py:68(zi_and_xi)
       25    0.000    0.000    0.029    0.001 sorm.py:130(run_curvefit)
      150    0.023    0.000    0.025    0.000 quadrature.py:12(quadratureRule)
      925    0.001    0.000    0.025    0.000 model.py:208(evaluate_lsf)
     1050    0.001    0.000    0.024    0.000 distribution.py:284(jacobian)
       25    0.000    0.000    0.019    0.001 sorm.py:471(computeHessian)
      525    0.011    0.000    0.018    0.000 model.py:281(evaluate_ffd)
      550    0.007    0.000    0.018    0.000 _distn_infrastructure.py:2051(pdf)
      525    0.000    0.000    0.018    0.000 distribution.py:204(pdf)
      100    0.000    0.000    0.017    0.000 sorm.py:556(evaluateLSF)
      525    0.001    0.000    0.017    0.000 _distn_infrastructure.py:605(pdf)
      425    0.001    0.000    0.016    0.000 form.py:167(computeLimitState)
     7525    0.005    0.000    0.014    0.000 fromnumeric.py:66(_wrapreduction)
     2925    0.006    0.000    0.013    0.000 transformation.py:67(u_to_x)
     5000    0.002    0.000    0.012    0.000 fromnumeric.py:2304(sum)
    10000    0.004    0.000    0.011    0.000 fromnumeric.py:48(_wrapfunc)
      225    0.003    0.000    0.010    0.000 _distn_infrastructure.py:2132(cdf)
      925    0.002    0.000    0.010    0.000 _distn_infrastructure.py:612(argsreduce)
     4950    0.005    0.000    0.010    0.000 _linalg.py:2598(norm)


