         137861 function calls in 0.115 seconds

   Ordered by: cumulative time
   List reduced from 192 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.002    0.000    0.113    0.005 form.py:60(run)
      750    0.001    0.000    0.052    0.000 distribution.py:249(u_to_x)
      100    0.000    0.000    0.052    0.001 form.py:190(getStepSize)
      100    0.004    0.000    0.052    0.001 form.py:202(computeStepSize)
      750    0.001    0.000    0.050    0.000 _distn_infrastructure.py:535(ppf)
      725    0.002    0.000    0.050    0.000 transformation.py:67(u_to_x)
      750    0.013    0.000    0.049    0.000 _distn_infrastructure.py:2302(ppf)
     2425    0.006    0.000    0.031    0.000 _distn_infrastructure.py:612(argsreduce)
       25    0.000    0.000    0.020    0.001 analysis.py:72(init_run)
       25    0.000    0.000    0.018    0.001 correlation.py:170(setModifiedCorrelationMatrix)
       25    0.001    0.000    0.018    0.001 correlation.py:65(computeModifiedCorrelationMatrix)
       25    0.001    0.000    0.016    0.001 integration.py:68(zi_and_xi)
      125    0.000    0.000    0.014    0.000 form.py:159(computeJacobian)
      125    0.001    0.000    0.011    0.000 transformation.py:83(jacobian)
     3350    0.003    0.000    0.011    0.000 fromnumeric.py:86(_wrapreduction_any_all)
      125    0.000    0.000    0.010    0.000 form.py:153(computeTransformation)
      225    0.000    0.000    0.009    0.000 model.py:208(evaluate_lsf)
     2425    0.001    0.000    0.009    0.000 fromnumeric.py:2548(all)
      250    0.001    0.000    0.009    0.000 distribution.py:284(jacobian)
      925    0.002    0.000    0.009    0.000 _stride_tricks_impl.py:514(broadcast_arrays)
       25    0.007    0.000    0.008    0.000 quadrature.py:12(quadratureRule)
      125    0.000    0.000    0.007    0.000 form.py:167(computeLimitState)
      125    0.000    0.000    0.006    0.000 distribution.py:204(pdf)
      125    0.000    0.000    0.006    0.000 _distn_infrastructure.py:605(pdf)
      125    0.004    0.000    0.006    0.000 model.py:281(evaluate_ffd)
      125    0.002    0.000    0.006    0.000 _distn_infrastructure.py:2051(pdf)
     2925    0.003    0.000    0.005    0.000 shape_base.py:19(atleast_1d)
      800    0.004    0.000    0.005    0.000 _stride_tricks_impl.py:373(_broadcast_to)
     3575    0.005    0.000    0.005    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     2200    0.001    0.000    0.005    0.000 {method 'all' of 'numpy.generic' objects}
       50    0.001    0.000    0.004    0.000 _distn_infrastructure.py:2132(cdf)
     1250    0.002    0.000    0.004    0.000 _linalg.py:2598(norm)
       25    0.000    0.000    0.004    0.000 form.py:145(computeStartingPoint)
      925    0.000    0.000    0.004    0.000 fromnumeric.py:2436(any)
     2200    0.001    0.000    0.003    0.000 _methods.py:64(_all)


