         2472713 function calls in 1.534 seconds

   Ordered by: cumulative time
   List reduced from 243 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.526    1.526 mc.py:443(run)
        1    0.022    0.022    1.524    1.524 mc.py:260(run)
       20    0.022    0.001    1.396    0.070 mc.py:92(computeTransformation)
    20043    0.053    0.000    1.375    0.000 transformation.py:67(u_to_x)
    20046    0.012    0.000    1.293    0.000 distribution.py:249(u_to_x)
    20046    0.018    0.000    1.251    0.000 _distn_infrastructure.py:535(ppf)
    20046    0.316    0.000    1.232    0.000 _distn_infrastructure.py:2302(ppf)
    60147    0.143    0.000    0.701    0.000 _distn_infrastructure.py:612(argsreduce)
    80202    0.070    0.000    0.258    0.000 fromnumeric.py:86(_wrapreduction_any_all)
    60147    0.029    0.000    0.222    0.000 fromnumeric.py:2548(all)
    20055    0.039    0.000    0.174    0.000 _stride_tricks_impl.py:514(broadcast_arrays)
    60130    0.038    0.000    0.125    0.000 {method 'all' of 'numpy.generic' objects}
    60178    0.062    0.000    0.118    0.000 shape_base.py:19(atleast_1d)
   100440    0.114    0.000    0.114    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    20050    0.065    0.000    0.096    0.000 _stride_tricks_impl.py:373(_broadcast_to)
    60130    0.016    0.000    0.087    0.000 _methods.py:64(_all)
    20055    0.010    0.000    0.074    0.000 fromnumeric.py:2436(any)
    60151    0.015    0.000    0.052    0.000 _function_base_impl.py:2100(place)
    20148    0.012    0.000    0.049    0.000 fromnumeric.py:2304(sum)
       20    0.045    0.002    0.048    0.002 mc.py:118(computeSumUpdate)
    20044    0.013    0.000    0.042    0.000 {method 'any' of 'numpy.generic' objects}
    60151    0.038    0.000    0.038    0.000 {built-in method numpy._core._multiarray_umath._place}
    20214    0.014    0.000    0.036    0.000 fromnumeric.py:66(_wrapreduction)
    20046    0.034    0.000    0.034    0.000 _continuous_distns.py:4317(_ppf)
    20049    0.020    0.000    0.033    0.000 numeric.py:323(full)
    20046    0.031    0.000    0.031    0.000 distribution.py:36(cdf)
    20044    0.005    0.000    0.029    0.000 _methods.py:55(_any)
   100272    0.026    0.000    0.026    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    20055    0.023    0.000    0.025    0.000 _stride_tricks_impl.py:446(_broadcast_shape)
    80400    0.018    0.000    0.018    0.000 {method 'ravel' of 'numpy.ndarray' objects}
   100349    0.018    0.000    0.018    0.000 {built-in method numpy.array}
   100510    0.017    0.000    0.017    0.000 {built-in method numpy.asanyarray}
   100449    0.014    0.000    0.014    0.000 {method 'items' of 'dict' objects}
    20050    0.008    0.000    0.012    0.000 {built-in method builtins.any}
   100339    0.011    0.000    0.011    0.000 {built-in method builtins.len}


