         306958 function calls (305758 primitive calls) in 0.278 seconds

   Ordered by: cumulative time
   List reduced from 309 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.003    0.000    0.276    0.011 form.py:72(run)
     1125    0.008    0.000    0.127    0.000 distribution.py:480(u_to_x)
      150    0.000    0.000    0.116    0.001 form.py:213(_get_step_size)
      150    0.007    0.000    0.116    0.001 form.py:225(_compute_step_size)
     1100    0.004    0.000    0.112    0.000 transformation.py:74(u_to_x)
1300/1250    0.002    0.000    0.109    0.000 distribution.py:39(_call)
     1150    0.001    0.000    0.094    0.000 distribution.py:413(ppf)
     1150    0.002    0.000    0.093    0.000 _distn_infrastructure.py:535(ppf)
     1150    0.024    0.000    0.092    0.000 _distn_infrastructure.py:2302(ppf)
       25    0.000    0.000    0.065    0.003 analysis.py:134(init_run)
       25    0.000    0.000    0.063    0.003 correlation.py:317(set_modified_correlation_matrix)
       25    0.000    0.000    0.063    0.003 correlation.py:195(compute_modified_correlation_matrix)
       25    0.001    0.000    0.062    0.002 correlation.py:236(_nataf_correlation)
     3825    0.012    0.000    0.059    0.000 _distn_infrastructure.py:612(argsreduce)
       25    0.001    0.000    0.034    0.001 integration.py:66(zi_and_xi)
      325    0.001    0.000    0.030    0.000 analysis.py:119(_lsf)
      175    0.000    0.000    0.030    0.000 form.py:182(_compute_jacobian)
      325    0.003    0.000    0.029    0.000 model.py:348(_evaluate_lsf)
      175    0.002    0.000    0.026    0.000 transformation.py:90(jacobian_u_wrt_x)
       25    0.000    0.000    0.026    0.001 _optimize.py:575(fmin)
       25    0.004    0.000    0.025    0.001 _optimize.py:700(_minimize_neldermead)
     6625    0.007    0.000    0.023    0.000 fromnumeric.py:86(_wrapreduction_any_all)
      350    0.003    0.000    0.022    0.000 distribution.py:588(jacobian)
      175    0.001    0.000    0.021    0.000 form.py:190(_compute_limit_state)
     5150    0.003    0.000    0.021    0.000 fromnumeric.py:2548(all)
      175    0.000    0.000    0.020    0.000 form.py:176(_compute_transformation)
     1475    0.004    0.000    0.018    0.000 _stride_tricks_impl.py:514(broadcast_arrays)
      450    0.001    0.000    0.017    0.000 _optimize.py:555(function_wrapper)
      175    0.006    0.000    0.016    0.000 model.py:450(_ffd)
      450    0.000    0.000    0.016    0.000 correlation.py:288(absolute_integral_value)
      450    0.011    0.000    0.015    0.000 integration.py:17(rho_integral)
     8925    0.012    0.000    0.012    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      325    0.004    0.000    0.012    0.000 model.py:494(_call)
     5250    0.006    0.000    0.011    0.000 shape_base.py:19(atleast_1d)
     1350    0.007    0.000    0.010    0.000 _stride_tricks_impl.py:373(_broadcast_to)


