         208342 function calls (207142 primitive calls) in 0.192 seconds

   Ordered by: cumulative time
   List reduced from 281 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.003    0.000    0.190    0.008 form.py:72(run)
      775    0.006    0.000    0.093    0.000 distribution.py:480(u_to_x)
  950/900    0.001    0.000    0.080    0.000 distribution.py:39(_call)
      100    0.000    0.000    0.077    0.001 form.py:213(_get_step_size)
      100    0.005    0.000    0.077    0.001 form.py:225(_compute_step_size)
      750    0.003    0.000    0.075    0.000 transformation.py:74(u_to_x)
      800    0.000    0.000    0.066    0.000 distribution.py:413(ppf)
      800    0.001    0.000    0.065    0.000 _distn_infrastructure.py:535(ppf)
      800    0.017    0.000    0.064    0.000 _distn_infrastructure.py:2302(ppf)
     2725    0.009    0.000    0.043    0.000 _distn_infrastructure.py:612(argsreduce)
       25    0.000    0.000    0.039    0.002 analysis.py:134(init_run)
       25    0.000    0.000    0.037    0.001 correlation.py:317(set_modified_correlation_matrix)
       25    0.000    0.000    0.037    0.001 correlation.py:195(compute_modified_correlation_matrix)
       25    0.001    0.000    0.037    0.001 correlation.py:236(_nataf_correlation)
       25    0.001    0.000    0.034    0.001 integration.py:66(zi_and_xi)
      225    0.001    0.000    0.023    0.000 analysis.py:119(_lsf)
      225    0.002    0.000    0.023    0.000 model.py:348(_evaluate_lsf)
      125    0.000    0.000    0.022    0.000 form.py:182(_compute_jacobian)
      125    0.001    0.000    0.019    0.000 transformation.py:90(jacobian_u_wrt_x)
      125    0.000    0.000    0.017    0.000 form.py:190(_compute_limit_state)
     4725    0.005    0.000    0.016    0.000 fromnumeric.py:86(_wrapreduction_any_all)
      250    0.002    0.000    0.016    0.000 distribution.py:588(jacobian)
     3650    0.002    0.000    0.015    0.000 fromnumeric.py:2548(all)
      125    0.000    0.000    0.014    0.000 form.py:176(_compute_transformation)
      125    0.004    0.000    0.013    0.000 model.py:450(_ffd)
     1075    0.003    0.000    0.013    0.000 _stride_tricks_impl.py:514(broadcast_arrays)
      225    0.003    0.000    0.010    0.000 model.py:494(_call)
       25    0.008    0.000    0.009    0.000 quadrature.py:12(quadrature_rule)
       50    0.001    0.000    0.009    0.000 distribution.py:527(_tail_quantiles)
     5450    0.008    0.000    0.008    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1000    0.006    0.000    0.008    0.000 _stride_tricks_impl.py:373(_broadcast_to)
     3725    0.004    0.000    0.008    0.000 shape_base.py:19(atleast_1d)
      125    0.000    0.000    0.007    0.000 distribution.py:333(pdf)
      125    0.000    0.000    0.007    0.000 _distn_infrastructure.py:605(pdf)
     1600    0.002    0.000    0.007    0.000 numeric.py:679(flatnonzero)


