         34975 function calls (34275 primitive calls) in 0.044 seconds

   Ordered by: cumulative time
   List reduced from 224 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.001    0.000    0.041    0.002 form.py:72(run)
       25    0.000    0.000    0.015    0.001 analysis.py:134(init_run)
       25    0.000    0.000    0.013    0.001 correlation.py:317(set_modified_correlation_matrix)
       25    0.000    0.000    0.013    0.001 correlation.py:195(compute_modified_correlation_matrix)
       25    0.001    0.000    0.013    0.001 correlation.py:236(_nataf_correlation)
       25    0.001    0.000    0.010    0.000 integration.py:66(zi_and_xi)
       75    0.000    0.000    0.009    0.000 analysis.py:119(_lsf)
       75    0.001    0.000    0.009    0.000 model.py:348(_evaluate_lsf)
       50    0.000    0.000    0.008    0.000 form.py:190(_compute_limit_state)
       25    0.007    0.000    0.008    0.000 quadrature.py:12(quadrature_rule)
       50    0.002    0.000    0.006    0.000 model.py:450(_ffd)
       25    0.000    0.000    0.005    0.000 form.py:213(_get_step_size)
       25    0.001    0.000    0.005    0.000 form.py:225(_compute_step_size)
       75    0.001    0.000    0.004    0.000 model.py:494(_call)
       25    0.000    0.000    0.003    0.000 form.py:280(_compute_failure_probability)
       25    0.001    0.000    0.003    0.000 _distn_infrastructure.py:2216(sf)
       50    0.000    0.000    0.003    0.000 form.py:182(_compute_jacobian)
       50    0.001    0.000    0.002    0.000 transformation.py:90(jacobian_u_wrt_x)
       25    0.000    0.000    0.002    0.000 benchmark_against_1x.py:80(make_analysis)
       25    0.000    0.000    0.002    0.000 transformation.py:140(compute)
       25    0.000    0.000    0.002    0.000 transformation.py:151(_compute_cholesky)
      625    0.000    0.000    0.002    0.000 fromnumeric.py:48(_wrapfunc)
       75    0.000    0.000    0.002    0.000 model.py:563(_signature)
       25    0.000    0.000    0.002    0.000 _form_reuse.py:58(_problem_state)
       25    0.000    0.000    0.002    0.000 inspect.py:3384(signature)
       25    0.000    0.000    0.002    0.000 inspect.py:3105(from_callable)
   575/25    0.001    0.000    0.002    0.000 _form_reuse.py:33(_state)
       25    0.000    0.000    0.002    0.000 inspect.py:2498(_signature_from_callable)
      375    0.000    0.000    0.001    0.000 fromnumeric.py:86(_wrapreduction_any_all)
       75    0.001    0.000    0.001    0.000 _linalg.py:536(inv)
      350    0.000    0.000    0.001    0.000 fromnumeric.py:2548(all)
      450    0.001    0.000    0.001    0.000 _linalg.py:2598(norm)
  275/125    0.000    0.000    0.001    0.000 _form_reuse.py:48(<genexpr>)
      450    0.000    0.000    0.001    0.000 fromnumeric.py:604(transpose)
       25    0.000    0.000    0.001    0.000 _distn_infrastructure.py:612(argsreduce)


