         3621487 function calls (3621380 primitive calls) in 2.023 seconds

   Ordered by: cumulative time
   List reduced from 381 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.023    2.023 importance_sampling.py:43(run)
        1    0.021    0.021    2.013    2.013 monte_carlo.py:238(run)
       20    0.021    0.001    1.924    0.096 monte_carlo.py:105(_compute_transformation)
    20045    0.060    0.000    1.903    0.000 transformation.py:74(u_to_x)
    20047    0.108    0.000    1.810    0.000 distribution.py:480(u_to_x)
24041/24031    0.026    0.000    1.515    0.000 distribution.py:39(_call)
    20049    0.007    0.000    1.224    0.000 distribution.py:413(ppf)
    20049    0.018    0.000    1.217    0.000 _distn_infrastructure.py:535(ppf)
    20049    0.307    0.000    1.200    0.000 _distn_infrastructure.py:2302(ppf)
    72081    0.167    0.000    0.818    0.000 _distn_infrastructure.py:612(argsreduce)
    96235    0.082    0.000    0.299    0.000 fromnumeric.py:86(_wrapreduction_any_all)
    72194    0.033    0.000    0.257    0.000 fromnumeric.py:2548(all)
     3971    0.002    0.000    0.247    0.000 distribution.py:428(isf)
     3971    0.004    0.000    0.245    0.000 _distn_infrastructure.py:538(isf)
     3971    0.062    0.000    0.241    0.000 _distn_infrastructure.py:2347(isf)
    24041    0.046    0.000    0.207    0.000 _stride_tricks_impl.py:514(broadcast_arrays)
    72050    0.043    0.000    0.145    0.000 {method 'all' of 'numpy.generic' objects}
    44067    0.044    0.000    0.143    0.000 numeric.py:679(flatnonzero)
    72179    0.072    0.000    0.138    0.000 shape_base.py:19(atleast_1d)
   116654    0.130    0.000    0.130    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    24044    0.077    0.000    0.113    0.000 _stride_tricks_impl.py:373(_broadcast_to)
    72060    0.019    0.000    0.102    0.000 _methods.py:64(_all)
    24041    0.011    0.000    0.086    0.000 fromnumeric.py:2436(any)
    72109    0.017    0.000    0.062    0.000 _function_base_impl.py:2100(place)
    24022    0.015    0.000    0.049    0.000 {method 'any' of 'numpy.generic' objects}
    44067    0.013    0.000    0.049    0.000 fromnumeric.py:1993(nonzero)
    20252    0.012    0.000    0.048    0.000 fromnumeric.py:2304(sum)
    72109    0.045    0.000    0.045    0.000 {built-in method numpy._core._multiarray_umath._place}
    44173    0.024    0.000    0.043    0.000 fromnumeric.py:1879(ravel)
    24023    0.024    0.000    0.039    0.000 numeric.py:323(full)
   180507    0.038    0.000    0.038    0.000 {method 'ravel' of 'numpy.ndarray' objects}
   140223    0.036    0.000    0.036    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    44214    0.017    0.000    0.035    0.000 fromnumeric.py:48(_wrapfunc)
    20347    0.014    0.000    0.035    0.000 fromnumeric.py:66(_wrapreduction)
    20049    0.034    0.000    0.034    0.000 _continuous_distns.py:4317(_ppf)


