         3073401 function calls (3073395 primitive calls) in 1.585 seconds

   Ordered by: cumulative time
   List reduced from 311 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.020    0.020    1.585    1.585 monte_carlo.py:238(run)
       20    0.019    0.001    1.500    0.075 monte_carlo.py:105(_compute_transformation)
    20000    0.053    0.000    1.480    0.000 transformation.py:74(u_to_x)
    20001    0.080    0.000    1.396    0.000 distribution.py:480(u_to_x)
20029/20027    0.020    0.000    1.176    0.000 distribution.py:39(_call)
    20002    0.006    0.000    1.141    0.000 distribution.py:413(ppf)
    20002    0.016    0.000    1.134    0.000 _distn_infrastructure.py:535(ppf)
    20002    0.286    0.000    1.118    0.000 _distn_infrastructure.py:2302(ppf)
    60078    0.130    0.000    0.634    0.000 _distn_infrastructure.py:612(argsreduce)
    80166    0.063    0.000    0.236    0.000 fromnumeric.py:86(_wrapreduction_any_all)
    60138    0.026    0.000    0.203    0.000 fromnumeric.py:2548(all)
    20028    0.034    0.000    0.156    0.000 _stride_tricks_impl.py:514(broadcast_arrays)
    40026    0.037    0.000    0.121    0.000 numeric.py:679(flatnonzero)
    60066    0.034    0.000    0.116    0.000 {method 'all' of 'numpy.generic' objects}
   100405    0.108    0.000    0.108    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    60119    0.055    0.000    0.107    0.000 shape_base.py:19(atleast_1d)
    20030    0.056    0.000    0.085    0.000 _stride_tricks_impl.py:373(_broadcast_to)
    60068    0.015    0.000    0.082    0.000 _methods.py:64(_all)
    20028    0.010    0.000    0.069    0.000 fromnumeric.py:2436(any)
    60084    0.014    0.000    0.049    0.000 _function_base_impl.py:2100(place)
    20168    0.011    0.000    0.046    0.000 fromnumeric.py:2304(sum)
    40026    0.012    0.000    0.041    0.000 fromnumeric.py:1993(nonzero)
    20022    0.012    0.000    0.039    0.000 {method 'any' of 'numpy.generic' objects}
    40113    0.020    0.000    0.037    0.000 fromnumeric.py:1879(ravel)
    60084    0.035    0.000    0.035    0.000 {built-in method numpy._core._multiarray_umath._place}
    20223    0.013    0.000    0.033    0.000 fromnumeric.py:66(_wrapreduction)
   160221    0.032    0.000    0.032    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    20002    0.031    0.000    0.031    0.000 _continuous_distns.py:4317(_ppf)
    20043    0.019    0.000    0.031    0.000 numeric.py:323(full)
    40061    0.014    0.000    0.030    0.000 fromnumeric.py:48(_wrapfunc)
   120146    0.029    0.000    0.029    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    20028    0.005    0.000    0.027    0.000 _methods.py:55(_any)
    20028    0.022    0.000    0.024    0.000 _stride_tricks_impl.py:446(_broadcast_shape)
   120229    0.023    0.000    0.023    0.000 {built-in method numpy.array}
   140481    0.019    0.000    0.019    0.000 {built-in method numpy.asanyarray}


