         139933 function calls (138783 primitive calls) in 0.091 seconds

   Ordered by: cumulative time
   List reduced from 272 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.002    0.000    0.090    0.004 form.py:73(run)
       25    0.000    0.000    0.028    0.001 analysis.py:134(init_run)
       25    0.000    0.000    0.027    0.001 correlation.py:315(set_modified_correlation_matrix)
       25    0.000    0.000    0.027    0.001 correlation.py:195(compute_modified_correlation_matrix)
       25    0.001    0.000    0.027    0.001 correlation.py:236(_nataf_correlation)
      175    0.000    0.000    0.018    0.000 form.py:184(_compute_jacobian)
      150    0.000    0.000    0.017    0.000 form.py:215(_get_step_size)
      150    0.004    0.000    0.017    0.000 form.py:227(_compute_step_size)
       25    0.000    0.000    0.016    0.001 _optimize.py:575(fmin)
       25    0.003    0.000    0.016    0.001 _optimize.py:700(_minimize_neldermead)
      175    0.001    0.000    0.016    0.000 transformation.py:90(jacobian_u_wrt_x)
      350    0.002    0.000    0.014    0.000 distribution.py:604(jacobian)
      325    0.001    0.000    0.013    0.000 analysis.py:119(_lsf)
      325    0.002    0.000    0.013    0.000 model.py:348(_evaluate_lsf)
      450    0.001    0.000    0.011    0.000 _optimize.py:555(function_wrapper)
      450    0.000    0.000    0.010    0.000 correlation.py:286(absolute_integral_value)
      450    0.007    0.000    0.010    0.000 integration.py:17(rho_integral)
      175    0.000    0.000    0.010    0.000 form.py:192(_compute_limit_state)
       25    0.001    0.000    0.009    0.000 integration.py:66(zi_and_xi)
      175    0.002    0.000    0.007    0.000 model.py:447(_ffd)
      175    0.000    0.000    0.007    0.000 distribution.py:333(pdf)
      325    0.002    0.000    0.007    0.000 model.py:478(_call)
      175    0.000    0.000    0.007    0.000 _distn_infrastructure.py:605(pdf)
      175    0.003    0.000    0.006    0.000 _distn_infrastructure.py:2051(pdf)
       25    0.005    0.000    0.005    0.000 quadrature.py:12(quadrature_rule)
     1100    0.002    0.000    0.005    0.000 transformation.py:74(u_to_x)
     2200    0.002    0.000    0.004    0.000 _linalg.py:2598(norm)
       25    0.000    0.000    0.004    0.000 form.py:170(_compute_starting_point)
      225    0.001    0.000    0.004    0.000 _distn_infrastructure.py:612(argsreduce)
       25    0.000    0.000    0.003    0.000 transformation.py:56(x_to_u)
     2775    0.001    0.000    0.003    0.000 fromnumeric.py:48(_wrapfunc)
     1125    0.002    0.000    0.003    0.000 gumbel.py:51(u_to_x)
       25    0.000    0.000    0.003    0.000 distribution.py:558(x_to_u)
     3550    0.003    0.000    0.003    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1550    0.001    0.000    0.003    0.000 fromnumeric.py:2548(all)


