         86706 function calls (85556 primitive calls) in 0.053 seconds

   Ordered by: cumulative time
   List reduced from 236 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.002    0.000    0.052    0.002 form.py:73(run)
      125    0.000    0.000    0.014    0.000 form.py:184(_compute_jacobian)
      125    0.001    0.000    0.012    0.000 transformation.py:90(jacobian_u_wrt_x)
      100    0.000    0.000    0.012    0.000 form.py:215(_get_step_size)
      100    0.003    0.000    0.012    0.000 form.py:227(_compute_step_size)
      250    0.001    0.000    0.011    0.000 distribution.py:604(jacobian)
      225    0.000    0.000    0.010    0.000 analysis.py:119(_lsf)
      225    0.001    0.000    0.010    0.000 model.py:348(_evaluate_lsf)
      125    0.000    0.000    0.008    0.000 form.py:192(_compute_limit_state)
      125    0.001    0.000    0.006    0.000 model.py:447(_ffd)
      225    0.001    0.000    0.005    0.000 model.py:478(_call)
      125    0.000    0.000    0.005    0.000 distribution.py:333(pdf)
      125    0.000    0.000    0.005    0.000 _distn_infrastructure.py:605(pdf)
      125    0.002    0.000    0.005    0.000 _distn_infrastructure.py:2051(pdf)
       25    0.000    0.000    0.005    0.000 form.py:170(_compute_starting_point)
       25    0.000    0.000    0.004    0.000 transformation.py:56(x_to_u)
      750    0.001    0.000    0.004    0.000 transformation.py:74(u_to_x)
       25    0.000    0.000    0.003    0.000 distribution.py:558(x_to_u)
       25    0.000    0.000    0.003    0.000 analysis.py:134(init_run)
      175    0.001    0.000    0.003    0.000 _distn_infrastructure.py:612(argsreduce)
       25    0.000    0.000    0.003    0.000 distribution.py:355(cdf)
       25    0.000    0.000    0.003    0.000 _distn_infrastructure.py:529(cdf)
     1500    0.001    0.000    0.003    0.000 _linalg.py:2598(norm)
       25    0.001    0.000    0.003    0.000 _distn_infrastructure.py:2132(cdf)
     1275    0.001    0.000    0.002    0.000 fromnumeric.py:86(_wrapreduction_any_all)
     1100    0.000    0.000    0.002    0.000 fromnumeric.py:2548(all)
      125    0.001    0.000    0.002    0.000 lognormal.py:83(pdf)
      100    0.000    0.000    0.002    0.000 model.py:436(_values)
       25    0.000    0.000    0.002    0.000 correlation.py:315(set_modified_correlation_matrix)
       25    0.000    0.000    0.002    0.000 correlation.py:195(compute_modified_correlation_matrix)
      150    0.001    0.000    0.002    0.000 _linalg.py:536(inv)
       25    0.000    0.000    0.002    0.000 _form_reuse.py:58(_problem_state)
       25    0.000    0.000    0.002    0.000 correlation.py:236(_nataf_correlation)
     1325    0.001    0.000    0.002    0.000 fromnumeric.py:48(_wrapfunc)
      225    0.000    0.000    0.002    0.000 model.py:549(_signature)


