         32225 function calls (31525 primitive calls) in 0.024 seconds

   Ordered by: cumulative time
   List reduced from 219 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.001    0.000    0.022    0.001 form.py:73(run)
       75    0.000    0.000    0.005    0.000 analysis.py:119(_lsf)
       75    0.001    0.000    0.005    0.000 model.py:348(_evaluate_lsf)
       50    0.000    0.000    0.005    0.000 form.py:192(_compute_limit_state)
       25    0.000    0.000    0.003    0.000 form.py:215(_get_step_size)
       25    0.001    0.000    0.003    0.000 form.py:227(_compute_step_size)
       50    0.001    0.000    0.003    0.000 model.py:447(_ffd)
       25    0.000    0.000    0.003    0.000 analysis.py:134(init_run)
       75    0.001    0.000    0.003    0.000 model.py:478(_call)
       25    0.000    0.000    0.003    0.000 form.py:282(_compute_failure_probability)
       25    0.001    0.000    0.003    0.000 _distn_infrastructure.py:2216(sf)
       50    0.000    0.000    0.002    0.000 form.py:184(_compute_jacobian)
       25    0.000    0.000    0.002    0.000 correlation.py:315(set_modified_correlation_matrix)
       25    0.000    0.000    0.002    0.000 correlation.py:195(compute_modified_correlation_matrix)
       25    0.000    0.000    0.002    0.000 correlation.py:236(_nataf_correlation)
       50    0.000    0.000    0.002    0.000 transformation.py:90(jacobian_u_wrt_x)
       75    0.000    0.000    0.001    0.000 model.py:549(_signature)
       25    0.000    0.000    0.001    0.000 transformation.py:140(compute)
       25    0.000    0.000    0.001    0.000 transformation.py:151(_compute_cholesky)
       25    0.000    0.000    0.001    0.000 benchmark_against_1x.py:80(make_analysis)
       25    0.000    0.000    0.001    0.000 _form_reuse.py:58(_problem_state)
       25    0.000    0.000    0.001    0.000 inspect.py:3384(signature)
       25    0.000    0.000    0.001    0.000 inspect.py:3105(from_callable)
       25    0.000    0.000    0.001    0.000 inspect.py:2498(_signature_from_callable)
   575/25    0.001    0.000    0.001    0.000 _form_reuse.py:33(_state)
      525    0.000    0.000    0.001    0.000 fromnumeric.py:48(_wrapfunc)
      450    0.001    0.000    0.001    0.000 _linalg.py:2598(norm)
      375    0.000    0.000    0.001    0.000 fromnumeric.py:86(_wrapreduction_any_all)
      350    0.000    0.000    0.001    0.000 fromnumeric.py:2548(all)
       25    0.000    0.000    0.001    0.000 _distn_infrastructure.py:612(argsreduce)
  275/125    0.000    0.000    0.001    0.000 _form_reuse.py:48(<genexpr>)
       75    0.001    0.000    0.001    0.000 _linalg.py:536(inv)
      100    0.000    0.000    0.001    0.000 normal.py:110(jacobian)
      225    0.000    0.000    0.001    0.000 transformation.py:74(u_to_x)
       25    0.000    0.000    0.001    0.000 form.py:170(_compute_starting_point)


