         357294 function calls (357197 primitive calls) in 0.138 seconds

   Ordered by: cumulative time
   List reduced from 344 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.138    0.138 importance_sampling.py:43(run)
        1    0.013    0.013    0.134    0.134 monte_carlo.py:238(run)
       20    0.011    0.001    0.080    0.004 monte_carlo.py:105(_compute_transformation)
    20045    0.030    0.000    0.068    0.000 transformation.py:74(u_to_x)
    20252    0.008    0.000    0.032    0.000 fromnumeric.py:2304(sum)
    20314    0.009    0.000    0.023    0.000 fromnumeric.py:66(_wrapreduction)
    20047    0.016    0.000    0.019    0.000 gumbel.py:51(u_to_x)
    20479    0.012    0.000    0.012    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    20047    0.008    0.000    0.009    0.000 lognormal.py:125(u_to_x)
       20    0.001    0.000    0.005    0.000 monte_carlo.py:131(_compute_sum_update)
    40387    0.005    0.000    0.005    0.000 {built-in method numpy.asarray}
    20275    0.004    0.000    0.004    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.004    0.004 form.py:73(run)
       40    0.000    0.000    0.004    0.000 _logsumexp.py:15(logsumexp)
    20217    0.003    0.000    0.003    0.000 {built-in method numpy.zeros}
       40    0.001    0.000    0.002    0.000 _logsumexp.py:201(_logsumexp)
        2    0.000    0.000    0.002    0.001 analysis.py:134(init_run)
        2    0.000    0.000    0.002    0.001 correlation.py:315(set_modified_correlation_matrix)
        2    0.000    0.000    0.002    0.001 correlation.py:195(compute_modified_correlation_matrix)
        2    0.000    0.000    0.002    0.001 correlation.py:236(_nataf_correlation)
    21454    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
    20455    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.001    0.001 _optimize.py:575(fmin)
        2    0.000    0.000    0.001    0.001 _optimize.py:700(_minimize_neldermead)
       33    0.000    0.000    0.001    0.000 analysis.py:119(_lsf)
       33    0.000    0.000    0.001    0.000 model.py:348(_evaluate_lsf)
    20064    0.001    0.000    0.001    0.000 model.py:168(get_marginal_distributions)
    20335    0.001    0.000    0.001    0.000 {built-in method builtins.len}
    20137    0.001    0.000    0.001    0.000 multiarray.py:748(dot)
    20062    0.001    0.000    0.001    0.000 lognormal.py:71(_shift)
    20252    0.001    0.000    0.001    0.000 fromnumeric.py:2299(_sum_dispatcher)
       36    0.000    0.000    0.001    0.000 _optimize.py:555(function_wrapper)
       36    0.000    0.000    0.001    0.000 correlation.py:286(absolute_integral_value)
       36    0.001    0.000    0.001    0.000 integration.py:17(rho_integral)
       20    0.000    0.000    0.001    0.000 monte_carlo.py:120(_compute_limit_state)


