         420676 function calls (417676 primitive calls) in 0.238 seconds

   Ordered by: cumulative time
   List reduced from 327 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.000    0.000    0.237    0.009 sorm.py:142(run)
       25    0.001    0.000    0.237    0.009 sorm.py:193(_run_curvefit)
       25    0.000    0.000    0.207    0.008 sorm.py:105(_prepare_run)
       25    0.005    0.000    0.205    0.008 form.py:73(run)
       25    0.000    0.000    0.063    0.003 analysis.py:134(init_run)
       25    0.000    0.000    0.061    0.002 correlation.py:315(set_modified_correlation_matrix)
       25    0.000    0.000    0.061    0.002 correlation.py:195(compute_modified_correlation_matrix)
       25    0.001    0.000    0.061    0.002 correlation.py:236(_nataf_correlation)
      525    0.004    0.000    0.050    0.000 transformation.py:90(jacobian_u_wrt_x)
      400    0.000    0.000    0.048    0.000 form.py:215(_get_step_size)
      400    0.009    0.000    0.047    0.000 form.py:227(_compute_step_size)
      425    0.001    0.000    0.045    0.000 form.py:184(_compute_jacobian)
       75    0.000    0.000    0.042    0.001 _optimize.py:575(fmin)
       75    0.006    0.000    0.042    0.001 _optimize.py:700(_minimize_neldermead)
     1050    0.005    0.000    0.038    0.000 distribution.py:604(jacobian)
      925    0.001    0.000    0.036    0.000 analysis.py:119(_lsf)
      925    0.004    0.000    0.034    0.000 model.py:348(_evaluate_lsf)
     1250    0.001    0.000    0.029    0.000 _optimize.py:555(function_wrapper)
     1250    0.001    0.000    0.027    0.000 correlation.py:286(absolute_integral_value)
     1250    0.019    0.000    0.026    0.000 integration.py:17(rho_integral)
       25    0.000    0.000    0.021    0.001 sorm.py:486(_compute_hessian)
      425    0.001    0.000    0.021    0.000 form.py:192(_compute_limit_state)
      100    0.000    0.000    0.020    0.000 sorm.py:571(_evaluate_lsf)
      925    0.004    0.000    0.018    0.000 model.py:478(_call)
      525    0.000    0.000    0.018    0.000 distribution.py:333(pdf)
      525    0.005    0.000    0.018    0.000 model.py:447(_ffd)
      525    0.001    0.000    0.018    0.000 _distn_infrastructure.py:605(pdf)
     2975    0.006    0.000    0.017    0.000 transformation.py:74(u_to_x)
       75    0.002    0.000    0.017    0.000 integration.py:66(zi_and_xi)
      525    0.007    0.000    0.017    0.000 _distn_infrastructure.py:2051(pdf)
       75    0.012    0.000    0.013    0.000 quadrature.py:12(quadrature_rule)
     5800    0.005    0.000    0.012    0.000 _linalg.py:2598(norm)
     8075    0.003    0.000    0.009    0.000 fromnumeric.py:48(_wrapfunc)
      700    0.002    0.000    0.009    0.000 _distn_infrastructure.py:612(argsreduce)
      125    0.000    0.000    0.009    0.000 transformation.py:56(x_to_u)


